Somebody once told me the world is gonna roll me,Intro,Smash Mouth
I ain't the sharpest tool in the shed,Intro,Smash Mouth
She was looking kind of dumb with her finger and her thumb,Intro,Smash Mouth
"In the shape of an ""L"" on her forehead",Intro,Smash Mouth
"Well, the years start comin' and they don't stop comin'",Verse 1,Smash Mouth
Fed to the rules and I hit the ground runnin',Verse 1,Smash Mouth
Didn't make sense not to live for fun,Verse 1,Smash Mouth
"Your brain gets smart, but your head gets dumb",Verse 1,Smash Mouth
"So much to do, so much to see",Verse 1,Smash Mouth
"So, what's wrong with taking the backstreets?",Verse 1,Smash Mouth
"Hey now, you're an all-star Het your game on, go play",Chorus,Smash Mouth
All that glitters is gold,Chorus,Smash Mouth
Only shootin' stars break the mold,Chorus,Smash Mouth
