"Fair is foul, and foul is fair","Act 1, Scene 1",The Witches,Act 1,
What bloody man is that?,"Act 1, Scene 2",Duncan,Act 1,
"For brave Macbeth - well he deserves that name - Disdaining fortune, with his brandished steel, which smoked with bloody execution","Act 1, Scene 2",Sergeant
"What he hath lost, Noble Macbeth hath won","Act 1, Scene 2",Duncan
"You should be women, and yet your beards forbid me to interpret that you are so","Act 1, Scene 3",Banquo
"The instruments of darkness tell us truths. Win us with honest trifles, to betray's in deepest consequence","Act 1, Scene 3",Banquo
Why do I yield to that suggestion whose horrid image doth unfix my hair and make my seated heart knock at my ribs,"Act 1, Scene 3",Macbeth
More is thy due than more than all can pay,"Act 1, Scene 4",Duncan
"The Prince of Cumberland! That is a step on which I must fall down, or else o'erleap - Stars hide your fires! Let not light see my black and deep desires:","Act 1, Scene 4",Macbeth
"Art not without ambition, but without the illness should attend it:","Act 1, Scene 5",Lady Macbeth
"Hie thee hither that I may pour my spirits in thine ear, and chastise with the valour of my tongue","Act 1, Scene 5",Lady Macbeth
"Unsex me here, and fill me from the crown to the toe top-full of direst cruelty!","Act 1, Scene 5",Lady Macbeth
"I have no spur to prick the sides of my intent, but only vaulting ambition, which o'erleaps itself and falls on the other.","Act 1, Scene 7",Macbeth
I dare do all that may become a man; who dares do more is none.,"Act 1, Scene 7",Macbeth
"And yet I would not sleep. Merciful powers, restrain me in the cursed thoughts that nature gives way to in repose!","Act 2, Scene 1",Banquo
"Is this a dagger which I see before me, the handle toward my hand? Come, let me clutch thee.","Act 2, Scene 1",Macbeth
"Had he not resembled my father as he slept, I had done't","Act 2, Scene 2",Lady Macbeth
"Glamis hath murder'd sleep, and therefore Cawdor shall sleep no more - Macbeth shall sleep no more.","Act 2, Scene 2",Macbeth
A little water clears us of this deed:,"Act 2, Scene 2",Lady Macbeth
"The night has been unruly: where we lay, our chimneys were blown down - and, as they say, lamentings heard I' the air; strange screams of death","Act 2, Scene 3",Lennox
Most sacrilegious murder hath broke ope the lord's anointed temple and stole thence the life o' the building!,"Act 2, Scene 3",Macduff
"Shake off this downy sleep, death's counterfeit, and look on death itself!","Act 2, Scene 3",Macduff
"Had I but died an hour before this chance, I had lived a blessed time; for, from this instant, there's nothing serious in mortality.","Act 2, Scene 3",Macbeth
In the great hand of God I stand; and thence against the undivulged pretence I fight of treasonous malice.,"Act 2, Scene 3",Banquo
"Thou seest, the heavens, as troubled with man's act, threaten this bloody stage","Act 2, Scene 4",Ross
